,Name,Date,Date (DSW),Date (PWP),Date (KEH),Status,Location,Lat,Lon,Style,Building Type,Client,Client Type, Notes,Sources,Generated Lat,Generated Lon
14,Pauline Scott McMartin Residence,1933.0,1933,None,None,,"1162 Tower Rd. Beverly Hills CA, USA",34.093741,-118.422419,,Residential/Single Family,Pauline Scott McMartin,Private/Individual,,,34.09373295,-118.42259905501717
15,"William ""Bojangles"" Robinson Residence",1937.0,1937,late 1930s,1905-04-20 00:00:00,,"1194 W 36th Pl Los Angeles, CA, USA",34.021733,-118.294213,,Residential/Single Family,"William ""Bojangles"" Robinson",Private/Individual,,,34.021884,-118.3047085
16,Anna S. Petitfils Residence,1930.0,1930,None,1905-04-13 00:00:00,,"1201 Park Way Beverly Hills CA, USA",34.073817,-118.402778,,Residential/Single Family,W. B. Petifils,Private/Individual,"""Anna S. Petitfils"" DSW",,34.073659,-118.402391
17, Sunset Plaza Apartments,1938.0,1938,1905-04-20 00:00:00,1905-04-18 00:00:00,,"1220 Sunset Plaza Dr Los Angeles, CA, USA",34.0934676,-118.3804587,,Residential/Multi-Unit,,Private/Corporate,"Each of the 18 units was designed individually, ""Sunset Plaza Apts"" - DSW",,34.092884445688355,-118.38062834886537
18,United Nations Bldg. Alterations,1953.0,1953,None,None,,"125 Av. de Suffren Paris, France",36.778261,-119.4179324,,Government,,Public,,,48.8487313,2.3052411
19,Marina Del Rey Junior High School,1960.0,1960,1905-05-13 00:00:00,1905-05-10 00:00:00,,"12500 Braddock Dr. Los Angeles CA, USA",33.9875741,-118.4209002,Ultra Modern,Educational,,Public,,,33.9873616,-118.4222639
20,Van Taylor Residence,1921.0,1921,None,None,extant ,"1337 Talmadge St., Los Angeles CA, USA",34.096895,-118.283334,,Residential/Single Family,L. Van Taylor,Private/Individual,Bojangles house near USC,National Trust for Hist Pres,34.09631463636364,-118.28312590909091
21,Grace Moore and Valentin Perreira Residence/ Tyrone Power Residence,1936.0,,1905-04-19 00:00:00,1903-10-28 00:00:00,,"139 N.Saltair Ave. Brentwood CA,  USA",34.062206,-118.475483,Georgian Modern,Residential/Multi-Unit,Grace Moore,Private/Individual,,,34.06242124244408,-118.47501398380626
22,Hollywood YMCA,1927.0,1927,1905-04-10 00:00:00,1905-04-10 00:00:00,,"1553 N. Hudson Ave. Hollywood CA, USA",34.0979783,-118.3315798,Spanish Colonial Revival,Recreational,,Public,,,34.1024515,-118.332187
23,U.S. Post Office,1926.0,1925,1905-04-08 00:00:00,None,,"1555 Holt Blvd Ontario, CA, USA",34.0640208,-117.6197434,Spanish Colonial Revival,Government,Charles Latimer,Public,,,34.063534548638394,-117.6206391361534
24,Atkin Residence,1929.0,1929,1905-04-12 00:00:00,1905-04-12 00:00:00,,"160 S. San Rafael Ave., Pasadena, CA, USA",34.140521,-118.170314,Tudor Revival,Residential/Single Family,Jack P. Atkin,Private/Individual,"12,000 sq ft (KEH), destroyed in fire in 2005",,34.14006585714286,-118.17144214285715
25,Paul R. Williams Residence,1951.0,1951,1905-05-05 00:00:00,1905-05-04 00:00:00,,"1690 S. Victoria Avenue, Los Angeles, CA, USA",34.042591,-118.33054,International Style,Residential/Single Family,Paul R. Williams,Private/Individual,,,34.042755,-118.33072373333333
26,Louis M. Blodgett Residence ,1953.0,1953,None,None,,"1704 Wellington Rd., Los Angeles, CA, USA",34.0426,-118.331836,,Residential/Single Family,Louis M. Blodgett,Private/Individual,,,34.04268139876701,-118.33206220067967
27,Knickerbocker Hotel Renovation,1936.0,,1905-04-19 00:00:00,1905-04-18 00:00:00,,"1714 Ivar Avenue, Los Angeles, CA, USA",34.1025125,-118.3278952,,Hotels/Hospitality,,Private/Corporate,,,34.102405,-118.328068
28,Knickerbocker Hotel Renovation,1955.0,,1905-05-08 00:00:00,None,,"1714 Ivar Avenue, Los Angeles, California, CA, USA",34.1025125,-118.3278952,,Hotels/Hospitality,,Private/Corporate,,,34.102405,-118.328068
29,William S. Miles Residence,1930.0,1930,None,1905-04-13 00:00:00,,"1715 Ambassador Ave Beverly Hills, CA, USA",34.086041,-118.424052,,Residential/Single Family,William Miles,Private/Individual,,,34.08605985,-118.4240566847619
30,V. H. Goodwin Residence,1928.0,,None,1905-04-11 00:00:00,,"173 N. Anita Avenue, Los Angeles, CA, USA",37.931868,-121.6957863,,Residential/Single Family,Vermillion Hull (Verrie) Goodwin and Marie Simpson Goodwin ,Private/Individual,Brentwood,,34.05951710395524,-118.48339856198228
31,Macedonia Baptist Church,1952.0,1952,None,None,,"1755 E. 114th St. Los Angeles CA, USA",33.9311386,-118.2422766,,Religious,,Private/Religious,,,33.93119383333333,-118.24218608333332
32,Pueblo Del Rio Public Housing,1941.0,1941,1905-04-25 00:00:00,1905-04-23 00:00:00,,"1801 E. 53rd St. Los Angeles, CA, USA",33.9943782,-118.2405551,,Residential/Multi-Unit,Housing Authority of Los Angeles,Public-gov,Joint venture/400 units,,33.994553958333334,-118.240954125
33,Matteson Residence,1921.0,1921,  ,None,destroyed,"1901 Manhattan Ave. Hermosa CA, USA",33.8614939,-118.3985278,,Residential/Single Family,Ralph E. Matteson,Private/Individual,Destroyed in 2014,National Trust for Hist Pres,33.867544,-118.400948
34,Dr. V. Mott Pierce Residence,1928.0,1928,None,1920s,,"200 Fern Dr. Pasadena CA, USA",34.146578,-118.169637,,Residential/Single Family,Dr. V. Mott Pierce,Private/Individual,,,34.14576888156638,-118.16968144742555
35,Pleasant Hill Baptist Chuch,1922.0,,1905-04-05 00:00:00,1905-04-05 00:00:00,extant ,"2009 W Martin Luther King Jr Blvd Los Angeles, CA, USA",34.0522342,-118.2436849,,Religious,Rev. W.H. Rozier,Private/Religious,,Shades of LA Archive/Los Angeles Public Library; paulrwilliamsproject.org,34.0522342,-118.2436849
36,Trinity Baptist Church,1965.0,1965,None,None,,"2040 W. Jefferson Blvd. Los Angeles CA, USA",34.0251254,-118.3162939,,Religious,,Private/Religious,,,34.0251586,-118.3162896
37,Dr. Marcus O. Tucker Residence,1937.0,1937,1905-04-20 00:00:00,1905-04-20 00:00:00,,"20th St. Santa Monica, CA, USA",34.0294378,-118.4809424,Colonial Revival,Residential/Single Family,Dr. Marcus O. Tucker,Private/Individual,,,34.0306725,-118.4823495
38,Langston Terrace Public Housing,1937.0,1937,1935-1938,1905-04-19 00:00:00,,"Benning Rd NE & 21st St NE Washington, DC, USA",38.8985653,-76.9741635,International Style,Residential/Multi-Unit,Public Works Administration,Public-gov,"200 apartments, collaboration with Hilyard Robinson",,38.8985653,-76.9741635
39,Browne Residence,1923.0,,None,1905-04-06 00:00:00,extant ,"2224 Ponet Drive, Los Angeles CA, USA",34.0928092,-118.3286614,,Residential/Single Family,John Barton and Eva Browne,Private/Individual,Los Feliz,LFIA Hist Survey,34.110280111853776,-118.30948667303238
40,Samuel J. Douds Residence,1923.0,,1905-04-06 00:00:00,None,extant ,"2233 Cheremoya St, Los Angeles, CA, USA",34.0522342,-118.2436849,Spanish Villa,Residential/Single Family,Samuel J and Lillian Douds,Private/Individual,"one-story, six-room",,34.11209508117061,-118.32038610085556
41,First African Methodist Episcopal Church,1963.0,1963,1905-05-17 00:00:00,1905-05-16 00:00:00,,"2270 S. Harvard St. Los Angeles CA, USA",34.0344082,-118.3061942,,Religious,,Private/Religious,,,34.0352582,-118.4731895
42,St. Nicholas Orthodox Church,1948.0,1948,None,None,,"2300 W. 3rd St. Los Angeles CA, USA",34.0636966,-118.2751786,,Religious,,Private/Religious,,,34.064036,-118.274865
43,Edwin Building,1928.0,,1905-04-11 00:00:00,None,,"232 S. Rimpau Blvd. Los Angeles CA, USA",34.0699885,-118.3304601,Spanish Colonial Revival,Commercial,,Private/Corporate,,,34.06968109342558,-118.33071110103813
44,Second Baptist Church,1924.0,1924,1905-04-07 00:00:00,1905-04-07 00:00:00,,"2414 Griffith St.,  Los Angeles, CA, USA",34.0214448,-118.2564499,Romanesque Revival,Religious,Dr. Thomas Lee Griffith,Private/Religious,"Designed by Williams and Norman F. Marsh, National Register for Historic Places (June 2009)",,34.2762171,-118.4425981
45,Arrowhead Springs Hotel,1939.0,1939,1905-04-22 00:00:00,1905-04-23 00:00:00,,"24600 Arrowhead Springs Rd., San Bernardino, CA, USA",34.1865121,-117.2630239,,Hotels/Hospitality,"Jay Paley, et. al.",Private/Corporate,Designed with Gordon Kaufmann and Edward Huntsman Trout. Gordon Kauffman got to meet PRW when he was an office boy in 1915 at Reginald Johnson office. This is known from Samuel Lundeen who also worked for Reginald Johnson. Same time as the Hoover damn.,,34.18549176668133,-117.27152660125032
46,Leon G. Cuerin Residence,1939.0,1939,1905-04-22 00:00:00,1905-04-22 00:00:00,,"2555 Divisadero St. San Francisco CA, USA",37.793052,-122.441828,Palladian,Residential/Single Family,Leon G. and Lillian Cuenin,Private/Individual,(San Fransisco) - PWP,,37.79304625,-122.44184565821435
47,Frank Sinatra Residence,1956.0,1956,None,1905-05-09 00:00:00,,"2666 Bowmont Dr. Beverly Hills CA, USA",34.1173445,-118.3982679,,Residential/Single Family,Frank Sinatra,Private/Individual,KEH: Location - Trousdale Estates,,34.1149933,-118.3985053
48,Katherin Peachy Residence,1929.0,1929,1905-04-12 00:00:00,1905-04-12 00:00:00,,"325 N. Las Palmas Ave. Los Angeles CA, USA",34.077095,-118.336287,,Residential/Single Family,Katherine Peachy,Private/Individual,"Great depression - some design details not executed until 1933, DSW: Los Angeles",,34.0767806034311,-118.33605381562565
49,St. Jude Children's Hopsital,1962.0,1962,1905-05-15 00:00:00,1905-05-15 00:00:00,,"332 N. Lauderdale  St. Memphis, Tennessee, USA",35.1544433,-90.0462723,,Medical,Danny Thomas ,Private/Corporate,,,35.15237272801618,-90.04465060344918
50,M. Shuwarger Residence,1936.0,1936,None,None,,"333 S Beverly Glen Blvd Los Angeles, CA, USA",34.0765916,-118.4324207,California-style Monterey Colonial,Residential/Single Family,Shuwarger,Private/Individual,,,34.0585911,-118.4248598
51,"Eddie ""Rochester"" Anderson Residence",1937.0,1937,None,1905-04-20 00:00:00,,"3700 Cimarron, Los Angeles, CA, USA",34.0209578,-118.3155369,,Residential/Single Family,"Eddie ""Rochester"" Anderson",Private/Individual,,,34.020873,-118.315467
52,Dr. Joseph T. Edward Residence,1928.0,1928,None,None,,"3718 Chevy Chase Dr, La Cañada Flintridge, CA, USA",34.1819599,-118.195818,,Residential/Single Family,D. Josepht T. Edward,Private/Individual,,,34.18226044037408,-118.19625930208036
53,Founders Church of Religious Science,1960.0,1960,1905-05-10 00:00:00,1905-05-10 00:00:00,,"3821 W. 6th St. Los Angeles CA, USA",34.0639032,-118.3061281,,Religious,Dr. Ernest Holmes,Private/Religious,,,34.06361525,-118.306094125
54,"""Cordhaven,"" E. L. Cord Residence",1933.0,1931,1905-04-16 00:00:00,1905-04-14 00:00:00,,"400 Doheny Rd. Beverly Hills CA, USA",34.0902389,-118.396305,Southern Colonial,Residential/Single Family,E. L. Cord,Private/Individual,"Built 1932? (KEH),32,000 sq ft, 16 bedrooms",,34.0902954,-118.39624532010578
55,Perino's Restaurant,1949.0,1949,1905-05-08 00:00:00,1905-05-02 00:00:00,,"4101 Wilshire Blvd. Los Angeles CA, USA",34.0618711,-118.3168844,,Food Service/Restaurant,,Private/Corporate,,,34.0561892,-118.2719703
56,Colin Smith Residence,1935.0,1935,None,None,,"4121 Pembury Pl, La Cañada Flintridge, CA, USA",34.0814174,-118.4298626,,Residential/Single Family,Colin Smith,Private/Individual,,,34.192621121708015,-118.20082697543606
57,Johnny Weissmuller Residene/Nicolosi Estate,1931.0,,1905-04-17 00:00:00,None,,"414 St. Pierre Rd., Los Angeles, CA, USA",34.0859499,-118.436713,Mediterranean Revival,Residential/Single Family,Johnny Weissmuller,Private/Individual,"8,700 square foot",,34.08605294018515,-118.43711068411083
58,Hudson Ledell Medical Office Bldg,1928.0,1928,None,1905-04-11 00:00:00,,"4230 S. Central Ave. Los Angeles CA, USA",34.0067744,-118.2564781,,Office Building,H. Claude Hudson,Private/Corporate,"DSW: ""Hudson Ledell Medical Office Bldg.""",,33.9234616,-118.254337
59,Louis Cass Residence,1922.0,1922,1905-04-05 00:00:00,1905-04-05 00:00:00,extant ,"4236 Woodleigh Ln, La Cañada Flintridge, CA, USA",34.1937939,-118.190372,Spanish Colonial Revival,Residential/Single Family,Louis and Virginia Nourse Cass,Private/Individual,Altered/expanded in 1975,Architecture Magazine (1924); LA Times; usmodernist.org,34.193842,-118.191364
60,Hart Issacs Residence,1935.0,,None,1905-04-18 00:00:00,,"425 Parkwood Dr Los Angeles, CA, USA",34.085349,-118.434678,,Residential/Single Family,Henry Issacs,Private/Individual,(Hart Issacs Residence - 1935) - DSW??,,34.5646082,-118.1759746
61,Woodrow Wilson High School,1969.0,1969,None,1905-05-22 00:00:00,,"4500 Multnomah St. Los Angeles CA, USA",34.0698847,-118.1861651,,Educational,,Public,,,34.071079269862196,-118.18606348194346
62,"First Church of Christ, Scientist",1939.0,1939,1905-04-22 00:00:00,1905-04-21 00:00:00,,"501 Riverside Reno NV, USA",39.523967,-119.819665,Neoclassical,Religious,Anna Frandsen Loomis,Private/Religious,,,39.52402595,-119.81979548722687
63,New Hope Baptist Church,1954.0,1954,None,None,,"5201 S. Central Ave. Los Angeles CA, USA",33.995622,-118.256799,,Religious,,Private/Religious,,,33.9234616,-118.254337
64,Katherine B. Flint Residence,1929.0,1929,1905-04-12 00:00:00,None,,"524 Dartmouth Pl La Cañada Flintridge, CA, USA",34.188602,-118.189295,,Residential/Single Family,Katherine B. Flint,Private/Individual,"A smaller re-design of a built house (Flint family), DSW - Pasadena",,34.18847308163265,-118.18876108163265
65,Al Jolson Memorial,1954.0,1954,1905-05-04 00:00:00,1905-05-03 00:00:00,,"6001 W Centinela Ave Los Angeles, CA, USA",33.9799239,-118.3888167,,Memorial,Robert Groman,Private/Corporate,,,33.9840539,-118.4016168
66,Hillside Memorial Masoleum,1951.0,1951,1905-05-04 00:00:00,1905-04-30 00:00:00,,"6001 W. Centinela Culver City CA, USA",33.9799239,-118.3888167,,Commercial,Harry and Robert Groman,Private/Corporate,,,33.9834172,-118.3989118
67,Robert Newmark Residence,1927.0,1927,None,1905-04-10 00:00:00,,"617 N Arden Dr. Beverly Hills, CA, USA",34.083118,-118.395764,,Residential/Single Family,Robert Newmark,Private/Individual,,,34.0830787,-118.39564864312791
68,Opie Howard Residence,1936.0,1936,None,None,,"630 Sierra Dr. Beverly Hills CA,  USA",34.084573,-118.392216,,Residential/Single Family,Opie Howard,Private/Individual,,,34.0893514,-118.3943048
69,S. Mitchell Residence,1923.0,,None,None,extant ,"632 Berkshire Ave, Los Angeles CA, USA",,,,Residential/Single Family,Standish Mitchell,Private/Individual,"La Canada, Flintridge; Williams also designed a house for Mitchell's brother, Douglas",usmodernist.org,34.19301990104182,-118.19276986026124
70,D. Mitchell Residence,1924.0,,None,1905-04-06 00:00:00,extant ,"640 Berkshire Ave, Los Angeles CA, USA",34.2068182,-118.2000277,,Residential/Single Family,Douglas Mitchell,Private/Individual,"Flintridge; Williams also designed a house for Mitchell's brother, Standish",usmodernist.org; Gebhard (LA Arch Guide),34.1932368,-118.1934238
71,Palm Springs Tennis Club (Assoc. Architect),1947.0,1947,1905-04-30 00:00:00,1905-04-30 00:00:00,,"701 W. Baristo Rd. Palm Springs, CA, USA",33.8195625,-116.5538729,California Modernism,Recreational,Pearl McCallum McNamu,Private/Corporate,"Collaboration with A. Quincy Jones, Additions did the main bldg not the hotel",,33.819375,-116.553232
72,August Sensenbrenner Residence,1933.0,1933,None,1905-04-16 00:00:00,,"703 N Arden Dr. Beverly Hills, CA, USA",34.085596,-118.3962791,,Residential/Single Family,August Sensenbrenner,Private/Individual,,,34.08552895,-118.39637691136117
73,Barbara Stanwyck Residence Renovations,1936.0,1936,1905-04-20 00:00:00,1905-04-19 00:00:00,,"718 North Hillcrest Road, Beverly Hills, CA, USA",34.087275,-118.3978634,French and English Tudor,Residential/Single Family,Barbara Stanwyck,Private/Individual,,,34.08725395,-118.39788293229398
74,"Lon Chaney , Sr. Residence",1930.0,1930,1905-04-13 00:00:00,1905-04-12 00:00:00,,"806 Whittier Dr. Beverly Hills CA,  USA",34.07308,-118.418179,Mediterranean,Residential/Single Family,Lon Chaney,Private/Individual,,,34.07310455,-118.41823966866592
75,Sanchon Beerup Residence,1929.0,1929,None,1905-04-10 00:00:00,,"808 Whittier Dr. Beverly Hills, CA,  USA",34.073333,-118.418323,,Residential/Single Family,Fanchon Beerup,Private/Individual,,,34.073343300000005,-118.41833035
76,Stuart King Residence,1930.0,1930,None,None,,"841 Inverness Dr., Pasadena CA,  USA",34.184206,-118.193458,,Residential/Single Family,Stuart King,Private/Individual,,,34.1787554,-118.1790669
77,William Collins Residence,1932.0,1932,None,1905-04-15 00:00:00,,"9039 Beverly Blvd. Beverly Hills CA,  USA",34.0776065,-118.3889813,French Normandy,Residential/Single Family,William Collins,Private/Individual,Five bedrooms,,34.0771585,-118.3938598
78,Chasen's Restaurant/ Bristol Market Farms,1968.0,,None,1905-05-21 00:00:00,,"9039 Beverly Blvd. Beverly Hills CA, USA",34.0776065,-118.3889813,,Food Service/Restaurant,,Private/Corporate,,,34.0771585,-118.3938598
79,Corrine Griffith Residence ,1930.0,1930,None,None,,"910 N Rexford Dr Beverly Hills, CA, USA",34.085682,-118.410619,,Residential/Single Family,Corinne Griffith,Private/Individual,,,34.08565365,-118.41067636674737
80,Tex's Sporting Goods Store,1939.0,1939,None,None,,"910 Wilshire Blvd. Santa Monica, CA, CA, USA",34.0231054,-118.4932909,,Retail/Shopping,,Private/Corporate,,,34.0168774,-118.5011264
81,Music Coorporation of America (MCA) Building,1938.0,1938,1905-04-21 00:00:00,1905-04-20 00:00:00,,"9370 Burton Way Beverly Hills, CA,  USA",34.0720171,-118.3988678,English Georgian Revival,Office Building,Music Corporation of America,Private/Corporate,1951: Additions/alterations,,34.07196133543836,-118.39816591701694
82,W. J. Sloane Department Store,1949.0,1949,1905-05-01 00:00:00,1905-05-01 00:00:00,,"9560 Wilshire Blvd. Beverly Hills, CA,  USA",34.0668787,-118.4021838,Ultra Modern,Retail/Shopping,W. & J. Sloane,Private/Corporate,,,34.0670708,-118.4023752
83,Saks Fifth Avenue Department Store (Assoc. Architect),1938.0,1936,1930's,1905-04-22 00:00:00,,"9600 Wilshire Blvd. Beverly Hills, CA, USA",34.066723,-118.40372,,Retail/Shopping,,Private/Corporate,"""Architect of the interiors"" (PWP), 1945-50: Alterations/additions",,34.0670708,-118.4023752
84,Beverly Hills Hotel Polo Lounge,1959.0,1959,None,None,,"9641 Sunset Blvd Beverly Hills, CA, USA",34.0817957,-118.4133946,,Recreational,,Private/Corporate,,,34.0817957,-118.4133946
85,Arthur Belliveau Residence,1951.0,,None,1905-05-04 00:00:00,,"Alhambra, CA, USA",34.095287,-118.1270146,,Residential/Single Family,Arthur Belliveau,Private/Individual,,,34.093042,-118.12706
86,Carl W. Hirschmann Residence,1954.0,,None,1905-05-07 00:00:00,,"Amenia, New York, USA",41.8492599,-73.5567918,,Residential/Single Family,Carl W. Hirschmann,Private/Individual,,,41.849607,-73.55231867099057
87,Convention Hall,1957.0,,None,1905-05-10 00:00:00,,"Anaheim, CA, USA",33.8352932,-117.9145036,,Commercial,,Private/Corporate,,,33.8340292,-117.93348585416624
88,Viola Bigood Residence,1958.0,,None,1905-05-11 00:00:00,,"Arcadia, CA, USA",34.1397292,-118.0353449,,Residential/Single Family,Viola Bigood,Private/Individual,,,34.1362075,-118.0401497
89,"""Hamiltair,"" Thomas Hamilton Estate",1936.0,1936,None,1905-04-19 00:00:00,,"Arrowhead CA,  USA",34.1866753,-117.2617092,,Residential/Single Family,Thomas Hamilton,Private/Individual,,,34.1477879,-117.2872654
90,James Fickett Residence,1939.0,,None,1905-04-22 00:00:00,,"Arrowhead Springs, CA, USA",34.1866753,-117.2617092,,Residential/Single Family,James Fickett,Private/Individual,,,34.1866753,-117.2617092
91,Joseph Schenck Residence (alterations/additions),1939.0,,None,1905-04-22 00:00:00,,"Arrowhead Springs, CA, USA",34.1866753,-117.2617092,,Residential/Single Family,Joseph Schenck,Private/Individual,,,34.1866753,-117.2617092
92,William Payne Residence,1938.0,,None,1905-04-21 00:00:00,,"Atherton, CA, USA",37.4613272,-122.197743,,Residential/Single Family,William Payne,Private/Individual,,,37.453773,-122.2058272
93,Goodfriend's Woman Wear,1946.0,,None,1905-04-29 00:00:00,,"Austin, Texas, USA",30.267153,-97.7430608,,Retail/Shopping,,Private/Corporate,,,30.2711286,-97.7436995
94,Gordon Crary Residence,1933.0,,None,1905-04-16 00:00:00,,"Balboa, CA, USA",33.6068313,-117.8942672,,Residential/Single Family,Gordon Crary,Private/Individual,,,33.6006761,-117.8971141
95,Claude Wayne Residence,1926.0,,None,1905-04-09 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,Claude Wayne,Private/Individual,,,34.0827278,-118.4479802
96,John Hamilton Residence,1929.0,,None,1905-04-12 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,John Hamilton,Private/Individual,,,34.0827278,-118.4479802
97,R. H. Nicholson Residence,1929.0,,None,1905-04-12 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,R. H. Nicholson,Private/Individual,,,34.0827278,-118.4479802
98,Martin Landau Residence,1931.0,,None,1905-04-14 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,Martin Landau,Private/Individual,Alteration of Jane Walker Residence,,34.0827278,-118.4479802
99,Hobart Henley Residence,1933.0,,1905-04-16 00:00:00,1905-04-16 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,Hobart Henley,Private/Individual,,,34.0827278,-118.4479802
100,Frank R. Wood Residence,1936.0,,None,1905-04-19 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,Frank R. Wood,Private/Individual,,,34.0827278,-118.4479802
101,Joseph Harris Residence,1936.0,,None,1905-04-19 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,Joseph Harris,Private/Individual,1962: Alterations for Georgia Bullock Dunbar,,34.0827278,-118.4479802
102,Morris Landau Residence,1936.0,,1905-04-19 00:00:00,1905-04-19 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,Georgian-Revival,Residential/Single Family,Morris Landau,Private/Individual,"Collaboration with Edward Hunstman-Trout (landscape architecture), (Holmby Hills - PWP). 10,000 square-foot",,34.0827278,-118.4479802
103,T. Keith Glennon Residence,1936.0,,None,1905-04-19 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,T. Keith Glennon,Private/Individual,,,34.0827278,-118.4479802
104,Brian Foy Residence,1937.0,,None,1905-04-20 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,Brian Foy,Private/Individual,,,34.0827278,-118.4479802
105,Elizabeth Bain Residence,1939.0,,None,1905-04-22 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,Elizabeth Bain,Private/Individual,,,34.0827278,-118.4479802
106,Henry Salvatori Residence,1940.0,,None,1905-04-23 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,Henry Salvatori,Private/Individual,,,34.0827278,-118.4479802
107,M. W. Lipper Residence,1941.0,,None,1905-04-24 00:00:00,,"Bel Air, Los Angeles, CA, USA",34.1002455,-118.459463,,Residential/Single Family,M. W. Lipper,Private/Individual,,,34.0827278,-118.4479802
